name    ,quantity  ,cost,link
ESP32-WROOM-32,1,3.58,https://robu.in/product/esp-wroom-32-esp32-wifi-bt-ble-mcu-module/
Waveshare 4.2'' e-Ink Paper Display Module With SPI Interface,1,29.58,https://robu.in/product/4-2-inch-e-ink-paper-display-module-with-spi-interface/
PCM5102a DAC Decoder Module,1,4.74,https://hubtronics.in/pcm5102-i2s-digital-audio-dac-decoder-module
3.5mm TRS jack ,1,0.1,https://hubtronics.in/3.5mm-4pole-audio-plug
3.3V MicroSD SPI Module,1,0.46,https://robocraze.com/products/sd-card-module
Tactile Buttons,10,0.47,https://robu.in/product/12x12x12mm-tactile-push-button-switch-10pcs/
3.7v Li-Po Battery (WLY803040),1,3.98,https://robu.in/product/wly803040-1000mah-3-7v-single-cell-rechargeable-lipo-battery/
TP4056 Charging Module,1,0.13,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/
MT3608 Booster,1,0.34,https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/
Perfboard,4,1.05,https://probots.co.in/dot-pcb-perfboard.html
3D Printing,5,10,https:
shipping,,3.17,
,total,47.75,
